Location name,Latitude,Longitude,Coordinates type,Material identifier,Short references,Original material identifier,Material type,Taxon rank,Taxon name,Reported biological identification,Fish category,Plant metabolism,Context,Relative dating - lower limit,Relative dating - upper limit,Relative dating timescale,Sample identifier,Sample type,Bone,Combustion stage,Dataset DOI,Result type,δ13C (‰vpdb),δ13C (‰vpdb) uncertainty,δ13C uncertainty type,δ15N (‰air),δ15N (‰air) uncertainty,δ15N uncertainty type,δ34S uncertainty type,Country
Sourtara,40.18333,22,exact,2015.001.f_13,Bourbou et al. (2011),1,animal,species,canis lupus,dog,,,archaeological,500,700,BCE/CE,2015.001.fbo1_13,bone,,,10.48530/isoarch.2015.001,exact,-18.7,,,8.4,,,,Greece
Sourtara,40.18333,22,exact,2015.001.f_14,Bourbou et al. (2011),2,animal,genus,capra,goat,,,archaeological,500,700,BCE/CE,2015.001.fbo1_14,bone,,,10.48530/isoarch.2015.001,exact,-20.7,,,2.6,,,,Greece
Eleutherna,35.3207,24.66431,exact,2015.001.f_15,Bourbou et al. (2011),1,animal,genus,ovis,sheep,,,archaeological,500,700,BCE/CE,2015.001.fbo1_15,bone,,,10.48530/isoarch.2015.001,exact,-20.2,,,7.2,,,,Greece
Eleutherna,35.3207,24.66431,exact,2015.001.f_16,Bourbou et al. (2011),2,animal,genus,ovis,sheep,,,archaeological,500,700,BCE/CE,2015.001.fbo1_16,bone,,,10.48530/isoarch.2015.001,exact,-20.5,,,3.4,,,,Greece
Edessa,40.8,22.05,exact,2017.001.3081,Dotsika and Michael (2018),Apples,plant,genus,malus,,,C3,archaeological,1900,2000,BCE/CE,2017.001.3098,fruit,,,10.48530/isoarch.2017.001,mean,-24.5,2.3,sd,4.5,0.6,sd,,Greece
Edessa,40.8,22.05,exact,2017.001.3082,Dotsika and Michael (2018),Peaches,plant,species,prunus persica,,,C3,archaeological,1900,2000,BCE/CE,2017.001.3099,fruit,,,10.48530/isoarch.2017.001,mean,-26.6,1.5,sd,3.4,0.5,sd,,Greece
Edessa,40.8,22.05,exact,2017.001.3083,Dotsika and Michael (2018),Milk,animal,genus,bos,milk,,,archaeological,1900,2000,BCE/CE,2017.001.3100,milk,,,10.48530/isoarch.2017.001,exact,-15.6,,,3.7,,,,Greece
Edessa,40.8,22.05,exact,2017.001.3084,Dotsika and Michael (2018),River fish (flesh  tissues),animal,,,river fish (flesh tissues),freshwater,,archaeological,1900,2000,BCE/CE,2017.001.3101,flesh,,,10.48530/isoarch.2017.001,exact,-24,,,13.3,,,,Greece
Veroia,40.51667,22.2,exact,2017.001.3085,Dotsika and Michael (2018),Apricots,plant,species,prunus armeniaca,,,C3,archaeological,1900,2000,BCE/CE,2017.001.3102,fruit,,,10.48530/isoarch.2017.001,mean,-24.9,1.3,sd,4.5,0.07,sd,,Greece
Greece,39,22,approximate,2017.001.3086,Dotsika and Michael (2018),Anser (goose),animal,genus,anserobilharzia,anser (goose),,,archaeological,1900,2000,BCE/CE,2017.001.3103,bone,,,10.48530/isoarch.2017.001,exact,-18,,,9.1,,,,Greece
